config_bits,fair_func,load_id,weight_new
100111,efficient,9,1.5000000147160533
100111,efficient,10,1.5000000146518229
100111,efficient,11,1.5000000147160535
100111,efficient,12,1.5000000146668335
100111,efficient,13,1.500000014874776
100111,efficient,14,1.5000000136461809
100111,efficient,15,1.5000000147494643
010111,efficient,1,1.500000014786898
010111,efficient,2,1.500000013574989
010111,efficient,3,1.500000014916492
010111,efficient,4,1.5000000148019874
010111,efficient,5,1.500000014749393
010111,efficient,6,1.5000000148757222
010111,efficient,7,1.5000000147537988
010111,efficient,8,1.5000000148036676
010111,efficient,9,1.5000000147157768
010111,efficient,10,1.5000000146518147
010111,efficient,11,1.5000000147157806
010111,efficient,12,1.5000000146671446
010111,efficient,13,1.5000000148749555
010111,efficient,14,1.5000000136461487
010111,efficient,15,1.5000000147494181
